,driver_name,rating,year
228,emmanuel collard,G,2020
229,emmanuel collard,S,2022
230,enzo guibbert,S,2017
231,enzo guibbert,G,2018
232,eric trouillet,B,2017
233,eric trouillet,B,2022
234,erik maris,B,2017
235,erik maris,B,2018
236,erik maris,B,2020
237,erwin creed,B,2019
238,erwin creed,B,2018
239,esteban garcia,B,2021
240,esteban gutierrez,P,2022
241,euan hankey,S,2017
242,euan hankey,G,2018
243,euan hankey,G,2019
244,fabien barthez,B,2017
245,fabio babini,G,2018
246,fabio scherer,G,2022
247,fabio scherer,S,2021
248,felipe derani,P,2022
249,felipe fraga,S,2019
250,felipe fraga,S,2020
251,felipe fraga,G,2022
252,felipe fraga,G,2021
253,felipe nasr,P,2022
254,felix rosenqvist,G,2017
255,ferdinand habsburg-lothringen,G,2021
256,ferdinand habsburg-lothringen,G,2022
257,fernando alonso,P,2019
258,fernando alonso,P,2018
259,fernando rees,G,2017
260,filipe albuquerque,P,2017
261,filipe albuquerque,P,2018
262,filipe albuquerque,P,2019
263,filipe albuquerque,P,2020
264,filipe albuquerque,P,2022
265,filipe albuquerque,P,2021
266,francesco castellacci,S,2019
267,francesco castellacci,S,2018
268,francesco castellacci,S,2017
269,francesco castellacci,S,2020
270,francesco castellacci,S,2022
271,francesco castellacci,S,2021
272,francesco piovanetti,B,2020
273,franck dezoteux,B,2022
274,franck matelli,S,2017
275,franck mailleux,G,2022
276,franco colapinto,S,2021
277,francois heriau,B,2022
278,francois perrodo,B,2019
279,francois perrodo,B,2017
280,francois perrodo,B,2018
281,francois perrodo,B,2020
282,francois perrodo,B,2022
283,francois perrodo,B,2021
284,fred poordad,B,2022
285,frederic makowiecki,P,2020
286,frederic makowiecki,P,2022
287,frederik schandorff,S,2022
288,frits van eerd,B,2019
289,frits van eerd,B,2017
290,frits van eerd,B,2018
291,frits van eerd,B,2020
292,frits van eerd,B,2021
293,frederic makowiecki,P,2017
294,frederic makowiecki,P,2019
295,frederic makowiecki,P,2018
296,gabriel aubry,S,2019
297,gabriel aubry,S,2018
298,gabriel aubry,S,2020
299,gabriel aubry,G,2021
300,gabriel aubry,G,2022
301,garett grist,S,2020
302,giancarlo fisichella,P,2018
303,giancarlo fisichella,P,2017
304,giancarlo fisichella,P,2019
305,giancarlo fisichella,P,2020
306,giancarlo fisichella,P,2021
307,giancarlo fisichella,P,2022
308,gianmaria bruni,P,2018
309,gianmaria bruni,P,2019
310,gianmaria bruni,P,2020
311,gianmaria bruni,P,2021
312,gianmaria bruni,P,2022
313,giedo van der garde,P,2018
314,giedo van der garde,P,2019
315,giedo van der garde,P,2020
316,giedo van der garde,P,2021
317,giorgio roda,S,2019
318,giorgio roda,S,2018
319,giorgio sernagiotto,S,2019
320,giorgio sernagiotto,S,2018
321,giorgio sernagiotto,S,2017
322,giorgio sernagiotto,S,2020
323,giorgio sernagiotto,S,2021
324,guillermo rojas,G,2022
325,gustavo menezes,G,2019
326,gustavo menezes,G,2018
327,gustavo menezes,G,2017
328,gustavo menezes,G,2020
329,harrison newey,S,2018
330,harry tincknell,P,2019
331,harry tincknell,P,2017
332,harry tincknell,P,2018
333,harry tincknell,P,2020
334,harry tincknell,P,2022
335,henning enqvist,S,2019
336,henrik hedman,B,2018
337,henrik hedman,B,2017
338,henrik hedman,B,2019
339,henrik hedman,B,2020
340,henrik hedman,B,2021
341,henrique chaves,S,2022
342,hiroki katoh,S,2017
343,ho pin tung,G,2018
344,ho-pin tung,G,2019
345,ho-pin tung,G,2020
346,ho-pin tung,G,2017
347,horst felbermayr jr,B,2020
348,hugo de sadeleer,S,2018
349,hugo de sadeleer,S,2017
350,jack aitken,G,2022
351,jacques nicolet,B,2017
352,jakub smiechowski,S,2019
353,jakub smiechowski,S,2020
354,jakub smiechowski,S,2021
355,jakub smiechowski,S,2022
356,james allen,S,2017
357,james allen,S,2018
358,james allen,G,2020
359,james allen,G,2022
360,james calado,P,2018
361,james calado,P,2017
362,james calado,P,2019
363,james calado,P,2020
