,driver_name,rating,year
980,vincent abril,G,2019
981,vincent abril,G,2020
982,vincent abril,G,2022
983,vincent capillaire,S,2017
984,vincent capillaire,S,2018
985,vincent capillaire,S,2019
986,vincent capillaire,S,2020
987,vitaly petrov,P,2019
988,vitaly petrov,P,2017
989,vitaly petrov,P,2018
990,vutthikorn inthraphuvasak,B,2020
991,wei lu,B,2019
992,weiron tan,S,2018
993,weng sun mok,B,2018
994,weng sun mok,B,2017
995,will stevens,P,2018
996,will stevens,P,2020
997,william owen,S,2019
998,william owen,S,2017
999,william owen,S,2018
1000,william owen,S,2020
1001,william owen,S,2022
1002,william stevens,P,2017
1003,william stevens,P,2019
1004,william sweedler,B,2017
1005,william stevens,P,2022
1006,yifei ye,G,2022
1007,yuji kunimoto,P,2017
1008,zacharie robichon,S,2022
